report_year,agency_code,agency_jurisdiction,agency_state,population,violent_crimes,homicides,rapes,assaults,robberies,months_reported,crimes_percapita,homicides_percapita,rapes_percapita,assaults_percapita,robberies_percapita
2012,TXDPD00,Dallas,TX,1241549,8380,154,486,3647,4093,12,674.96,12.4,39.14,293.75,329.67
2013,TXDPD00,Dallas,TX,1255015,8330,143,543,3442,4202,12,663.74,11.39,43.27,274.26,334.82
2014,TXDPD00,Dallas,TX,1272396,8457,116,781,3704,3856,12,664.65,9.12,61.38,291.1,303.05
2015,TXDPD00,Dallas,TX,1301977,9038,136,782,3943,4177,,694.18,10.45,60.06,302.85,320.82
1975,CODPD00,Denver,CO,508140,4960,74,480,1838,2568,12,976.11,14.56,94.46,361.71,505.37
1976,CODPD00,Denver,CO,523676,4107,86,383,1596,2042,12,784.26,16.42,73.14,304.77,389.94
1977,CODPD00,Denver,CO,520200,5032,73,466,2005,2488,12,967.32,14.03,89.58,385.43,478.28
1978,CODPD00,Denver,CO,485547,4877,97,577,1841,2362,12,1004.43,19.98,118.84,379.16,486.46
1979,CODPD00,Denver,CO,486407,5118,66,626,2169,2257,12,1052.21,13.57,128.7,445.92,464.01
1980,CODPD00,Denver,CO,489318,5520,99,704,2351,2366,12,1128.1,20.23,143.87,480.46,483.53
1981,CODPD00,Denver,CO,503695,5085,100,471,2111,2403,12,1009.54,19.85,93.51,419.1,477.07
1982,CODPD00,Denver,CO,517638,4935,68,516,1965,2386,12,953.37,13.14,99.68,379.61,460.94
1983,CODPD00,Denver,CO,533732,4379,78,430,1947,1924,12,820.45,14.61,80.56,364.79,360.48
1984,CODPD00,Denver,CO,524171,4100,82,427,1910,1681,12,782.19,15.64,81.46,364.38,320.7
1985,CODPD00,Denver,CO,513048,4252,72,418,1845,1917,12,828.77,14.03,81.47,359.62,373.65
1986,CODPD00,Denver,CO,518625,4650,91,424,2036,2099,12,896.6,17.55,81.75,392.58,404.72
1987,CODPD00,Denver,CO,509529,3841,79,401,1749,1612,12,753.83,15.5,78.7,343.26,316.37
1988,CODPD00,Denver,CO,500555,3634,69,370,1802,1393,12,725.99,13.78,73.92,360,278.29
1989,CODPD00,Denver,CO,494589,3572,55,325,1925,1267,12,722.22,11.12,65.71,389.21,256.17
1990,CODPD00,Denver,CO,467610,4205,67,375,2451,1312,12,899.25,14.33,80.2,524.15,280.58
1991,CODPD00,Denver,CO,479468,5034,88,427,2884,1635,12,1049.91,18.35,89.06,601.5,341
1992,CODPD00,Denver,CO,492672,5303,95,437,2967,1804,12,1076.38,19.28,88.7,602.23,366.17
1993,CODPD00,Denver,CO,498402,5252,74,393,2922,1863,12,1053.77,14.85,78.85,586.27,373.79
1994,CODPD00,Denver,CO,511085,4706,81,366,2545,1714,12,920.79,15.85,71.61,497.96,335.36
1995,CODPD00,Denver,CO,505843,4357,81,320,2543,1413,12,861.33,16.01,63.26,502.73,279.34
1996,CODPD00,Denver,CO,516224,3832,64,358,2083,1327,12,742.31,12.4,69.35,403.51,257.06
1997,CODPD00,Denver,CO,525793,3535,69,356,1857,1253,12,672.32,13.12,67.71,353.18,238.31
1998,CODPD00,Denver,CO,509343,2916,51,320,1481,1064,12,572.5,10.01,62.83,290.77,208.9
1999,CODPD00,Denver,CO,509624,2909,63,249,1559,1038,12,570.81,12.36,48.86,305.91,203.68
2000,CODPD00,Denver,CO,554636,2885,32,296,1518,1039,12,520.16,5.77,53.37,273.69,187.33
2001,CODPD00,Denver,CO,569653,3074,45,317,1462,1250,12,539.63,7.9,55.65,256.65,219.43
2002,CODPD00,Denver,CO,581105,3104,51,321,1541,1191,12,534.15,8.78,55.24,265.18,204.95
2003,CODPD00,Denver,CO,565905,3531,63,304,1743,1421,12,623.96,11.13,53.72,308,251.1
2004,CODPD00,Denver,CO,563688,4490,87,243,2718,1442,12,796.54,15.43,43.11,482.18,255.82
2005,CODPD00,Denver,CO,564552,4446,59,316,2642,1429,12,787.53,10.45,55.97,467.98,253.12
2006,CODPD00,Denver,CO,568465,4324,51,342,2651,1280,12,760.64,8.97,60.16,466.34,225.17
2007,CODPD00,Denver,CO,573387,3528,47,294,2148,1039,12,615.29,8.2,51.27,374.62,181.2
2008,CODPD00,Denver,CO,592881,3359,40,282,2081,956,12,566.56,6.75,47.56,351,161.25
2009,CODPD00,Denver,CO,604680,3473,35,341,2166,931,12,574.35,5.79,56.39,358.21,153.97
2010,CODPD00,Denver,CO,600158,3387,28,371,2045,943,12,564.35,4.67,61.82,340.74,157.13
2011,CODPD00,Denver,CO,610612,3718,37,396,2142,1143,12,608.9,6.06,64.85,350.8,187.19
2012,CODPD00,Denver,CO,628545,3885,39,383,2295,1168,12,618.09,6.2,60.93,365.13,185.83
2013,CODPD00,Denver,CO,648981,4093,41,519,2400,1133,12,630.68,6.32,79.97,369.81,174.58
2014,CODPD00,Denver,CO,665353,4002,31,471,2412,1088,12,601.49,4.66,70.79,362.51,163.52
2015,CODPD00,Denver,CO,682418,4599,53,548,2768,1230,,673.93,7.77,80.3,405.62,180.24
1975,MI82349,Detroit,MI,1432444,30387,633,1424,7013,21317,12,2121.34,44.19,99.41,489.58,1488.16
1976,MI82349,Detroit,MI,1334100,29699,663,1230,6593,21213,12,2226.14,49.7,92.2,494.19,1590.06
1977,MI82349,Detroit,MI,1316352,24070,479,1277,6482,15832,12,1828.54,36.39,97.01,492.42,1202.72
1978,MI82349,Detroit,MI,1294359,21602,498,1288,7533,12283,12,1668.93,38.47,99.51,581.99,948.96
1979,MI82349,Detroit,MI,1258924,21021,452,1369,7787,11413,12,1669.76,35.9,108.74,618.54,906.57
1980,MI82349,Detroit,MI,1197325,23288,547,1313,7999,13429,12,1945,45.69,109.66,668.07,1121.58
1981,MI82349,Detroit,MI,1193805,23176,502,1229,6648,14797,12,1941.36,42.05,102.95,556.87,1239.48
1982,MI82349,Detroit,MI,1181868,23746,513,1167,6029,16037,12,2009.19,43.41,98.74,510.12,1356.92
1983,MI82349,Detroit,MI,1176968,25527,580,1514,6511,16922,12,2168.88,49.28,128.64,553.2,1437.76
1984,MI82349,Detroit,MI,1133647,26567,514,1519,6182,18352,12,2343.5,45.34,133.99,545.32,1618.85
1985,MI82349,Detroit,MI,1090581,25904,635,1575,6925,16769,12,2375.25,58.23,144.42,634.98,1537.62
1986,MI82349,Detroit,MI,1096947,27277,648,1351,8857,16421,12,2486.63,59.07,123.16,807.42,1496.97
1987,MI82349,Detroit,MI,1091523,27778,686,1417,10582,15093,12,2544.88,62.85,129.82,969.47,1382.75
1988,MI82349,Detroit,MI,1086714,25805,629,1447,10751,12978,12,2374.59,57.88,133.15,989.31,1194.24
1989,MI82349,Detroit,MI,1039599,24956,624,1424,11006,11902,12,2400.54,60.02,136.98,1058.68,1144.86
1990,MI82349,Detroit,MI,1027974,27747,582,1657,12498,13010,12,2699.19,56.62,161.19,1215.79,1265.6
1991,MI82349,Detroit,MI,1036246,28262,615,1427,12651,13569,12,2727.34,59.35,137.71,1220.85,1309.44
1992,MI82349,Detroit,MI,1044128,26447,595,1225,12433,12194,12,2532.93,56.99,117.32,1190.75,1167.86
1993,MI82349,Detroit,MI,1020062,28358,579,1189,12999,13591,12,2780.03,56.76,116.56,1274.33,1332.37
1994,MI82349,Detroit,MI,1022283,27471,541,1116,13042,12772,12,2687.22,52.92,109.17,1275.77,1249.36
1995,MI82349,Detroit,MI,997297,24011,475,1104,12356,10076,12,2407.61,47.63,110.7,1238.95,1010.33
1996,MI82349,Detroit,MI,1002299,23239,428,1119,12188,9504,12,2318.57,42.7,111.64,1216,948.22
1997,MI82349,Detroit,MI,1021412,21976,469,968,12331,8208,12,2151.53,45.92,94.77,1207.25,803.59
1998,MI82349,Detroit,MI,999976,24427,430,858,14581,8558,12,2442.76,43,85.8,1458.13,855.82
1999,MI82349,Detroit,MI,975020,21976,415,790,12948,7823,12,2253.9,42.56,81.02,1327.97,802.34
2000,MI82349,Detroit,MI,951270,22112,396,811,13037,7868,12,2324.47,41.63,85.25,1370.48,827.1
2001,MI82349,Detroit,MI,956283,20947,395,652,12804,7096,12,2190.46,41.31,68.18,1338.93,742.04
2002,MI82349,Detroit,MI,961987,19940,402,708,12542,6288,12,2072.79,41.79,73.6,1303.76,653.65
2003,MI82349,Detroit,MI,927766,18724,366,814,11727,5817,12,2018.18,39.45,87.74,1264,626.99
2004,MI82349,Detroit,MI,914353,15913,385,719,9358,5451,12,1740.36,42.11,78.63,1023.46,596.16
2005,MI82349,Detroit,MI,900932,21274,373,590,13485,6826,12,2361.33,41.4,65.49,1496.78,757.66
2006,MI82349,Detroit,MI,884462,21391,421,592,13143,7235,12,2418.53,47.6,66.93,1485.99,818.01
2007,MI82349,Detroit,MI,860971,19690,392,335,12396,6567,12,2286.95,45.53,38.91,1439.77,762.74
2008,MI82349,Detroit,MI,905783,17982,323,334,11000,6325,12,1985.24,35.66,36.87,1214.42,698.29
2009,MI82349,Detroit,MI,908441,18094,363,334,11390,6007,12,1991.76,39.96,36.77,1253.8,661.24
2010,MI82349,Detroit,MI,713777,16973,310,403,10721,5539,12,2377.91,43.43,56.46,1502.01,776.01
2011,MI82349,Detroit,MI,713239,15254,344,426,9508,4976,12,2138.69,48.23,59.73,1333.07,697.66
2012,MI82349,Detroit,MI,707096,15023,386,442,9345,4850,12,2124.61,54.59,62.51,1321.6,685.9
2013,MI82349,Detroit,MI,699889,14501,316,613,8801,4771,12,2071.9,45.15,87.59,1257.49,681.68
2014,MI82349,Detroit,MI,684694,13622,298,557,9194,3573,12,1989.5,43.52,81.35,1342.79,521.84
2015,MI82349,Detroit,MI,673225,11846,295,530,7564,3457,,1759.59,43.82,78.73,1123.55,513.5
1975,VA02901,Fairfax County,VA,487905,805,21,104,247,433,12,164.99,4.3,21.32,50.62,88.75
1976,VA02901,Fairfax County,VA,524272,708,17,84,270,337,12,135.04,3.24,16.02,51.5,64.28
1977,VA02901,Fairfax County,VA,517610,841,13,89,320,419,12,162.48,2.51,17.19,61.82,80.95
1978,VA02901,Fairfax County,VA,522890,917,17,94,314,492,12,175.37,3.25,17.98,60.05,94.09
1979,VA02901,Fairfax County,VA,519384,882,11,124,282,465,12,169.82,2.12,23.87,54.3,89.53
1980,VA02901,Fairfax County,VA,568736,995,21,95,376,503,12,174.95,3.69,16.7,66.11,88.44
1981,VA02901,Fairfax County,VA,579696,934,14,99,288,533,11,161.12,2.42,17.08,49.68,91.94
1982,VA02901,Fairfax County,VA,586631,966,10,91,344,521,12,164.67,1.7,15.51,58.64,88.81
1983,VA02901,Fairfax County,VA,592933,794,13,68,349,364,12,133.91,2.19,11.47,58.86,61.39
1984,VA02901,Fairfax County,VA,626134,868,16,61,347,444,12,138.63,2.56,9.74,55.42,70.91
1985,VA02901,Fairfax County,VA,651037,889,4,57,317,511,12,136.55,0.61,8.76,48.69,78.49
1986,VA02901,Fairfax County,VA,658583,964,14,69,386,495,12,146.37,2.13,10.48,58.61,75.16
1987,VA02901,Fairfax County,VA,690273,965,14,68,354,529,12,139.8,2.03,9.85,51.28,76.64
1988,VA02901,Fairfax County,VA,714952,986,23,77,338,548,12,137.91,3.22,10.77,47.28,76.65
1989,VA02901,Fairfax County,VA,742741,1047,28,102,389,528,12,140.96,3.77,13.73,52.37,71.09
1990,VA02901,Fairfax County,VA,787593,1013,27,105,391,490,12,128.62,3.43,13.33,49.64,62.21
1991,VA02901,Fairfax County,VA,800147,954,20,100,357,477,12,119.23,2.5,12.5,44.62,59.61
1992,VA02901,Fairfax County,VA,811733,1060,18,152,417,473,12,130.58,2.22,18.73,51.37,58.27
1993,VA02901,Fairfax County,VA,836460,920,17,100,343,460,12,109.99,2.03,11.96,41.01,54.99
1994,VA02901,Fairfax County,VA,844322,912,19,104,361,428,12,108.02,2.25,12.32,42.76,50.69
1995,VA02901,Fairfax County,VA,856544,897,15,87,348,447,12,104.72,1.75,10.16,40.63,52.19
1996,VA02901,Fairfax County,VA,863918,943,14,107,335,487,12,109.15,1.62,12.39,38.78,56.37
1997,VA02901,Fairfax County,VA,871555,909,16,71,375,447,12,104.3,1.84,8.15,43.03,51.29
1998,VA02901,Fairfax County,VA,887432,886,15,120,368,383,12,99.84,1.69,13.52,41.47,43.16
1999,VA02901,Fairfax County,VA,903902,575,15,66,236,258,8,63.61,1.66,7.3,26.11,28.54
2000,VA02901,Fairfax County,VA,933641,154,2,30,15,107,12,16.49,0.21,3.21,1.61,11.46
2001,VA02901,Fairfax County,VA,948050,249,2,32,42,173,12,26.26,0.21,3.38,4.43,18.25
2002,VA02901,Fairfax County,VA,961999,480,8,41,130,301,12,49.9,0.83,4.26,13.51,31.29
2003,VA02901,Fairfax County,VA,972948,648,6,55,235,352,12,66.6,0.62,5.65,24.15,36.18
2004,VA02901,Fairfax County,VA,973406,594,2,32,206,354,12,61.02,0.21,3.29,21.16,36.37
2005,VA02901,Fairfax County,VA,980586,575,14,57,206,298,12,58.64,1.43,5.81,21.01,30.39
2006,VA02901,Fairfax County,VA,979381,764,14,54,278,418,12,78.01,1.43,5.51,28.39,42.68
2007,VA02901,Fairfax County,VA,976392,873,15,59,309,490,12,89.41,1.54,6.04,31.65,50.18
2008,VA02901,Fairfax County,VA,974142,732,18,62,309,343,12,75.14,1.85,6.36,31.72,35.21
2009,VA02901,Fairfax County,VA,986646,705,13,98,268,326,12,71.45,1.32,9.93,27.16,33.04
2010,VA02901,Fairfax County,VA,1042747,971,23,127,438,383,12,93.12,2.21,12.18,42,36.73
2011,VA02901,Fairfax County,VA,1055204,918,11,100,385,422,12,87,1.04,9.48,36.49,39.99
2012,VA02901,Fairfax County,VA,1072723,858,16,115,384,343,12,79.98,1.49,10.72,35.8,31.97
2013,VA02901,Fairfax County,VA,1091221,1005,12,172,412,409,12,92.1,1.1,15.76,37.76,37.48
2014,VA02901,Fairfax County,VA,1101700,969,10,159,400,400,12,87.95,0.91,14.43,36.31,36.31
2015,VA02901,Fairfax County,VA,1101700,974,14,130,387,443,,88.41,1.27,11.8,35.13,40.21
1975,HI00200,Honolulu,HI,705262,1596,58,169,319,1050,12,226.3,8.22,23.96,45.23,148.88
1976,HI00200,Honolulu,HI,718424,1696,40,164,380,1112,12,236.07,5.57,22.83,52.89,154.78
1977,HI00200,Honolulu,HI,721983,1660,46,176,357,1081,12,229.92,6.37,24.38,49.45,149.73
1978,HI00200,Honolulu,HI,725259,2044,38,187,346,1473,12,281.83,5.24,25.78,47.71,203.1
1979,HI00200,Honolulu,HI,734368,2196,48,223,357,1568,12,299.03,6.54,30.37,48.61,213.52
1980,HI00200,Honolulu,HI,762020,2456,65,264,398,1729,12,322.3,8.53,34.64,52.23,226.9
1981,HI00200,Honolulu,HI,773331,1965,40,265,340,1320,12,254.1,5.17,34.27,43.97,170.69
1982,HI00200,Honolulu,HI,785181,2151,25,269,400,1457,12,273.95,3.18,34.26,50.94,185.56
1983,HI00200,Honolulu,HI,808092,2136,45,249,599,1243,12,264.33,5.57,30.81,74.13,153.82
1984,HI00200,Honolulu,HI,810772,1950,25,255,553,1117,12,240.51,3.08,31.45,68.21,137.77
1985,HI00200,Honolulu,HI,817083,1801,36,248,552,965,12,220.42,4.41,30.35,67.56,118.1
1986,HI00200,Honolulu,HI,823306,2076,46,241,737,1052,12,252.15,5.59,29.27,89.52,127.78
1987,HI00200,Honolulu,HI,832614,2258,36,322,915,985,12,271.19,4.32,38.67,109.89,118.3
1988,HI00200,Honolulu,HI,838656,2186,28,283,1042,833,12,260.66,3.34,33.74,124.25,99.33
1989,HI00200,Honolulu,HI,848959,2165,43,269,1044,809,0,255.02,5.07,31.69,122.97,95.29
1990,HI00200,Honolulu,HI,836231,2412,34,278,1211,889,12,288.44,4.07,33.24,144.82,106.31
1991,HI00200,Honolulu,HI,856432,2058,29,275,894,860,12,240.3,3.39,32.11,104.39,100.42
1992,HI00200,Honolulu,HI,875297,2382,31,326,1012,1013,12,272.14,3.54,37.24,115.62,115.73
1993,HI00200,Honolulu,HI,875455,2501,31,286,1099,1085,12,285.68,3.54,32.67,125.53,123.94
1994,HI00200,Honolulu,HI,880687,2528,35,266,1169,1058,12,287.05,3.97,30.2,132.74,120.13
1995,HI00200,Honolulu,HI,880266,2882,38,217,1256,1371,12,327.4,4.32,24.65,142.68,155.75
1996,HI00200,Honolulu,HI,878044,2748,27,222,1078,1421,12,312.97,3.08,25.28,122.77,161.84
1997,HI00200,Honolulu,HI,880272,2636,34,257,1131,1214,12,299.45,3.86,29.2,128.48,137.91
1998,HI00200,Honolulu,HI,874736,2342,17,242,1031,1052,12,267.74,1.94,27.67,117.86,120.26
1999,HI00200,Honolulu,HI,866566,2198,37,235,1019,907,12,253.64,4.27,27.12,117.59,104.67
2000,HI00200,Honolulu,HI,876303,2302,20,240,1058,984,12,262.69,2.28,27.39,120.73,112.29
2001,HI00200,Honolulu,HI,885605,2453,20,293,1141,999,12,276.99,2.26,33.08,128.84,112.8
2002,HI00200,Honolulu,HI,900433,2601,18,304,1207,1072,12,288.86,2,33.76,134.05,119.05
2003,HI00200,Honolulu,HI,905301,2606,15,266,1336,989,12,287.86,1.66,29.38,147.58,109.25
2004,HI00200,Honolulu,HI,906589,2507,26,222,1441,818,12,276.53,2.87,24.49,158.95,90.23
2005,HI00200,Honolulu,HI,908521,2570,15,234,1480,841,12,282.88,1.65,25.76,162.9,92.57
2006,HI00200,Honolulu,HI,912693,2745,17,229,1543,956,12,300.76,1.86,25.09,169.06,104.74
2007,HI00200,Honolulu,HI,905903,2613,19,226,1425,943,12,288.44,2.1,24.95,157.3,104.1
2008,HI00200,Honolulu,HI,906349,2575,18,203,1426,928,12,284.11,1.99,22.4,157.33,102.39
2009,HI00200,Honolulu,HI,907124,2537,14,243,1411,869,12,279.68,1.54,26.79,155.55,95.8
2010,HI00200,Honolulu,HI,953297,2548,19,218,1420,891,12,267.28,1.99,22.87,148.96,93.47
2011,HI00200,Honolulu,HI,963465,2370,14,203,1332,821,12,245.99,1.45,21.07,138.25,85.21
2012,HI00200,Honolulu,HI,975875,2336,11,165,1246,914,12,239.37,1.13,16.91,127.68,93.66
2013,HI00200,Honolulu,HI,984683,2276,18,221,1294,743,6,231.14,1.83,22.44,131.41,75.46
2014,HI00200,Honolulu,HI,994034,2273,19,320,1166,768,4,228.66,1.91,32.19,117.3,77.26
2015,HI00200,Honolulu,HI,999307,2437,15,318,1208,896,,243.87,1.5,31.82,120.88,89.66
1975,INIPD00,Indianapolis,IN,503411,4655,95,351,1117,3092,12,924.69,18.87,69.72,221.89,614.21
1976,INIPD00,Indianapolis,IN,494730,4144,68,347,1363,2366,12,837.63,13.74,70.14,275.5,478.24
1977,INIPD00,Indianapolis,IN,509000,3785,80,346,1220,2139,12,743.61,15.72,67.98,239.69,420.24
1978,INIPD00,Indianapolis,IN,513271,3733,76,341,1353,1963,12,727.3,14.81,66.44,263.6,382.45
1979,INIPD00,Indianapolis,IN,513877,4178,92,439,1594,2053,12,813.04,17.9,85.43,310.19,399.51
1980,INIPD00,Indianapolis,IN,698753,4453,107,410,1743,2193,12,637.28,15.31,58.68,249.44,313.84
1981,INIPD00,Indianapolis,IN,461820,4539,65,400,1880,2194,12,982.85,14.07,86.61,407.09,475.08
1982,INIPD00,Indianapolis,IN,462657,4341,69,387,1892,1993,12,938.28,14.91,83.65,408.94,430.77
1983,INIPD00,Indianapolis,IN,463455,4139,56,376,1886,1821,12,893.07,12.08,81.13,406.94,392.92
1984,INIPD00,Indianapolis,IN,471622,4366,49,324,2151,1842,12,925.74,10.39,68.7,456.09,390.57
1985,INIPD00,Indianapolis,IN,471656,4622,59,346,2422,1795,12,979.95,12.51,73.36,513.51,380.57
1986,INIPD00,Indianapolis,IN,470591,4307,63,438,2235,1571,12,915.23,13.39,93.07,474.93,333.84
1987,INIPD00,Indianapolis,IN,478693,4543,57,432,2720,1334,12,949.04,11.91,90.25,568.21,278.68
1988,INIPD00,Indianapolis,IN,483187,5635,79,422,3670,1464,12,1166.22,16.35,87.34,759.54,302.99
1989,INIPD00,Indianapolis,IN,484056,5859,41,483,3529,1806,12,1210.4,8.47,99.78,729.05,373.1
1990,INIPD00,Indianapolis,IN,483549,6224,58,541,3983,1642,12,1287.15,11.99,111.88,823.7,339.57
1991,INIPD00,Indianapolis,IN,489392,7072,95,561,4415,2001,12,1445.06,19.41,114.63,902.14,408.87
1992,INIPD00,Indianapolis,IN,493928,6814,88,541,4028,2157,12,1379.55,17.82,109.53,815.5,436.7
1993,INIPD00,Indianapolis,IN,377723,6292,68,517,3657,2050,12,1665.77,18,136.87,968.17,542.73
1994,INIPD00,Indianapolis,IN,380302,6467,108,483,3422,2454,12,1700.49,28.4,127,899.81,645.28
1995,INIPD00,Indianapolis,IN,373973,5707,82,381,3158,2086,10,1526.05,21.93,101.88,844.45,557.79
1996,INIPD00,Indianapolis,IN,376531,7418,114,424,4280,2600,12,1970.09,30.28,112.61,1136.69,690.51
1997,INIPD00,Indianapolis,IN,378014,7852,118,383,4601,2750,12,2077.17,31.22,101.32,1217.15,727.49
1998,INIPD00,Indianapolis,IN,759689,8624,143,586,5002,2893,12,1135.2,18.82,77.14,658.43,380.81
1999,INIPD00,Indianapolis,IN,759066,7714,113,424,4579,2598,12,1016.25,14.89,55.86,603.24,342.26
2000,INIPD00,Indianapolis,IN,793778,6843,96,443,3753,2551,12,862.08,12.09,55.81,472.8,321.37
2001,INIPD00,Indianapolis,IN,798251,7428,112,442,4087,2787,12,930.53,14.03,55.37,511.99,349.14
2002,INIPD00,Indianapolis,IN,804034,7518,112,441,4028,2937,12,935.04,13.93,54.85,500.97,365.28
2003,INIPD00,Indianapolis,IN,800167,7067,105,420,3714,2828,12,883.19,13.12,52.49,464.15,353.43
2004,INIPD00,Indianapolis,IN,800589,7067,109,479,3716,2763,12,882.73,13.61,59.83,464.16,345.12
2005,INIPD00,Indianapolis,IN,800304,7948,108,527,4039,3274,12,993.12,13.49,65.85,504.68,409.09
2006,INIPD00,Indianapolis,IN,800969,7689,140,549,3751,3249,12,959.96,17.48,68.54,468.31,405.63
2007,INIPD00,Indianapolis,IN,797268,9841,114,505,5176,4046,12,1234.34,14.3,63.34,649.22,507.48
2008,INIPD00,Indianapolis,IN,808329,9735,114,475,5123,4023,12,1204.34,14.1,58.76,633.78,497.69
2009,INIPD00,Indianapolis,IN,813471,9759,99,460,5271,3929,12,1199.67,12.17,56.55,647.96,482.99
2010,INIPD00,Indianapolis,IN,831388,9646,92,461,5726,3367,12,1160.23,11.07,55.45,688.73,404.99
2011,INIPD00,Indianapolis,IN,833024,9170,96,435,5267,3372,12,1100.81,11.52,52.22,632.27,404.79
2012,INIPD00,Indianapolis,IN,838650,9942,97,436,5967,3442,12,1185.48,11.57,51.99,711.5,410.42
2013,INIPD00,Indianapolis,IN,850220,10479,129,656,5894,3800,12,1232.5,15.17,77.16,693.23,446.94
2014,INIPD00,Indianapolis,IN,858238,10768,136,573,6251,3808,12,1254.66,15.85,66.76,728.35,443.7
2015,INIPD00,Indianapolis,IN,863675,11124,148,677,6497,3802,,1287.98,17.14,78.39,752.25,440.21
1975,FL01602,Jacksonville,FL,542792,4579,91,316,2445,1727,12,843.6,16.77,58.22,450.45,318.17
1976,FL01602,Jacksonville,FL,543839,4443,90,279,2516,1558,12,816.97,16.55,51.3,462.64,286.48
1977,FL01602,Jacksonville,FL,528698,4171,77,299,2329,1466,12,788.92,14.56,56.55,440.52,277.28
1978,FL01602,Jacksonville,FL,523199,4368,79,278,2664,1347,12,834.86,15.1,53.13,509.18,257.45
1979,FL01602,Jacksonville,FL,546419,4903,73,372,2903,1555,12,897.3,13.36,68.08,531.28,284.58
1980,FL01602,Jacksonville,FL,542795,4848,70,414,2733,1631,12,893.15,12.9,76.27,503.51,300.48
1981,FL01602,Jacksonville,FL,575157,5634,89,410,2795,2340,12,979.56,15.47,71.28,485.95,406.85
1982,FL01602,Jacksonville,FL,590957,5643,83,422,2986,2152,12,954.89,14.05,71.41,505.28,364.16
1983,FL01602,Jacksonville,FL,605934,5670,82,411,2889,2288,12,935.75,13.53,67.83,476.78,377.6
1984,FL01602,Jacksonville,FL,582421,6228,103,587,3404,2134,12,1069.33,17.68,100.79,584.46,366.4
1985,FL01602,Jacksonville,FL,601007,7301,90,705,3813,2693,12,1214.79,14.97,117.3,634.44,448.08
1986,FL01602,Jacksonville,FL,616668,8003,119,618,4281,2985,12,1297.78,19.3,100.22,694.21,484.05
1987,FL01602,Jacksonville,FL,629887,9577,147,609,4945,3876,12,1520.43,23.34,96.68,785.06,615.35
1988,FL01602,Jacksonville,FL,645024,,187,573,,4299,0,,28.99,88.83,,666.49
1989,FL01602,Jacksonville,FL,654737,9449,165,609,4735,3940,12,1443.17,25.2,93.01,723.19,601.77
1990,FL01602,Jacksonville,FL,636680,11654,176,704,6811,3963,12,1830.43,27.64,110.57,1069.77,622.45
1991,FL01602,Jacksonville,FL,653515,10645,119,716,5964,3846,12,1628.88,18.21,109.56,912.6,588.51
1992,FL01602,Jacksonville,FL,663899,11548,123,713,7098,3614,12,1739.42,18.53,107.4,1069.14,544.36
1993,FL01602,Jacksonville,FL,672310,11417,125,699,6989,3604,12,1698.17,18.59,103.97,1039.55,536.06
1994,FL01602,Jacksonville,FL,685776,10423,106,648,6242,3427,12,1519.88,15.46,94.49,910.21,499.73
1995,FL01602,Jacksonville,FL,679148,9596,86,625,5965,2920,12,1412.95,12.66,92.03,878.31,429.95
1996,FL01602,Jacksonville,FL,690367,9765,85,681,6207,2792,12,1414.47,12.31,98.64,899.09,404.42
1997,FL01602,Jacksonville,FL,702545,9437,75,606,6387,2369,12,1343.26,10.68,86.26,909.12,337.2
1998,FL01602,Jacksonville,FL,703251,8113,74,521,5467,2051,12,1153.64,10.52,74.08,777.39,291.65
1999,FL01602,Jacksonville,FL,702462,7265,83,459,5020,1703,12,1034.22,11.82,65.34,714.63,242.43
2000,FL01602,Jacksonville,FL,735617,8207,79,443,5663,2022,12,1115.66,10.74,60.22,769.83,274.87
2001,FL01602,Jacksonville,FL,754679,7388,75,287,4831,2195,12,978.96,9.94,38.03,640.14,290.85
2002,FL01602,Jacksonville,FL,769253,7043,90,277,4660,2016,12,915.56,11.7,36.01,605.78,262.07
2003,FL01602,Jacksonville,FL,776417,6729,92,213,4080,2344,12,866.67,11.85,27.43,525.49,301.9
2004,FL01602,Jacksonville,FL,790972,6533,104,209,3997,2223,12,825.95,13.15,26.42,505.33,281.05
2005,FL01602,Jacksonville,FL,795259,6600,91,189,4067,2253,12,829.92,11.44,23.77,511.41,283.3
2006,FL01602,Jacksonville,FL,795822,6663,110,218,4031,2304,12,837.25,13.82,27.39,506.52,289.51
2007,FL01602,Jacksonville,FL,797350,8146,123,249,4660,3114,12,1021.63,15.43,31.23,584.44,390.54
2008,FL01602,Jacksonville,FL,806080,8032,115,262,4717,2938,12,996.43,14.27,32.5,585.18,364.48
2009,FL01602,Jacksonville,FL,810064,6772,99,218,4096,2359,12,835.98,12.22,26.91,505.64,291.21
2010,FL01602,Jacksonville,FL,823209,5469,80,316,3380,1693,12,664.35,9.72,38.39,410.59,205.66
2011,FL01602,Jacksonville,FL,834429,5182,71,350,3183,1578,12,621.02,8.51,41.94,381.46,189.11
2012,FL01602,Jacksonville,FL,840660,5189,93,341,3384,1371,12,617.25,11.06,40.56,402.54,163.09
2013,FL01602,Jacksonville,FL,845745,5246,93,452,3277,1424,12,620.28,11,53.44,387.47,168.37
2014,FL01602,Jacksonville,FL,856021,5853,96,479,3859,1419,12,683.74,11.21,55.96,450.81,165.77
2015,FL01602,Jacksonville,FL,867258,5622,97,471,3656,1398,,648.25,11.18,54.31,421.56,161.2
1975,MOKPD00,Kansas City,MO,489094,6072,114,302,2575,3081,12,1241.48,23.31,61.75,526.48,629.94
