report_year,agency_code,agency_jurisdiction,agency_state,population,violent_crimes,homicides,rapes,assaults,robberies,months_reported,crimes_percapita,homicides_percapita,rapes_percapita,assaults_percapita,robberies_percapita
2011,LANPD00,New Orleans,LA,346974,2748,200,163,1326,1059,12,791.99,57.64,46.98,382.16,305.21
2012,LANPD00,New Orleans,LA,362874,2958,193,136,1564,1065,12,815.16,53.19,37.48,431,293.49
2013,LANPD00,New Orleans,LA,377022,2965,156,176,1495,1138,12,786.43,41.38,46.68,396.53,301.84
2014,LANPD00,New Orleans,LA,387113,3770,150,244,1906,1470,12,973.88,38.75,63.03,492.36,379.73
2015,LANPD00,New Orleans,LA,393447,3736,164,409,1666,1497,,949.56,41.68,103.95,423.44,380.48
1975,UT01803,Salt Lake City,UT,180000,1070,11,99,378,582,12,594.44,6.11,55,210,323.33
1976,UT01803,Salt Lake City,UT,175400,959,11,102,364,482,12,546.75,6.27,58.15,207.53,274.8
1977,UT01803,Salt Lake City,UT,180122,1064,12,112,461,479,12,590.71,6.66,62.18,255.94,265.93
1978,UT01803,Salt Lake City,UT,185000,1062,21,131,459,451,12,574.05,11.35,70.81,248.11,243.78
1979,UT01803,Salt Lake City,UT,180189,1119,18,155,451,495,12,621.01,9.99,86.02,250.29,274.71
1980,UT01803,Salt Lake City,UT,162985,1132,16,140,448,528,12,694.54,9.82,85.9,274.87,323.96
1981,UT01803,Salt Lake City,UT,169383,1268,14,137,530,587,12,748.6,8.27,80.88,312.9,346.55
1982,UT01803,Salt Lake City,UT,173630,1279,11,124,488,656,12,736.62,6.34,71.42,281.06,377.81
1983,UT01803,Salt Lake City,UT,180892,1163,14,128,498,523,12,642.93,7.74,70.76,275.3,289.12
1984,UT01803,Salt Lake City,UT,173136,1088,8,98,492,490,12,628.41,4.62,56.6,284.17,283.01
1985,UT01803,Salt Lake City,UT,164216,1083,14,99,524,446,12,659.5,8.53,60.29,319.09,271.59
1986,UT01803,Salt Lake City,UT,166182,1246,20,107,613,506,12,749.78,12.03,64.39,368.87,304.49
1987,UT01803,Salt Lake City,UT,159839,1090,13,94,501,482,12,681.94,8.13,58.81,313.44,301.55
1988,UT01803,Salt Lake City,UT,162005,1036,15,90,444,487,12,639.49,9.26,55.55,274.07,300.61
1989,UT01803,Salt Lake City,UT,154304,1197,18,136,559,484,12,775.74,11.67,88.14,362.27,313.67
1990,UT01803,Salt Lake City,UT,159936,1355,25,167,624,539,12,847.21,15.63,104.42,390.16,337.01
1991,UT01803,Salt Lake City,UT,164313,1319,14,182,649,474,12,802.74,8.52,110.76,394.98,288.47
1992,UT01803,Salt Lake City,UT,168304,1317,14,187,646,470,12,782.51,8.32,111.11,383.83,279.26
1993,UT01803,Salt Lake City,UT,170380,1402,19,204,681,498,12,822.87,11.15,119.73,399.69,292.29
1994,UT01803,Salt Lake City,UT,174827,1320,20,158,640,502,12,755.03,11.44,90.38,366.08,287.14
1995,UT01803,Salt Lake City,UT,175765,1375,27,148,636,564,12,782.29,15.36,84.2,361.85,320.88
1996,UT01803,Salt Lake City,UT,180180,1501,20,152,738,591,12,833.06,11.1,84.36,409.59,328.01
1997,UT01803,Salt Lake City,UT,185553,1467,21,141,685,620,12,790.61,11.32,75.99,369.17,334.14
1998,UT01803,Salt Lake City,UT,178579,1465,16,146,705,598,12,820.37,8.96,81.76,394.78,334.87
1999,UT01803,Salt Lake City,UT,177010,1258,16,147,610,485,12,710.69,9.04,83.05,344.61,274
2000,UT01803,Salt Lake City,UT,181743,1301,10,137,578,576,12,715.85,5.5,75.38,318.03,316.93
2001,UT01803,Salt Lake City,UT,184723,1166,18,121,546,481,12,631.22,9.74,65.5,295.58,260.39
2002,UT01803,Salt Lake City,UT,188504,1238,11,110,639,478,12,656.75,5.84,58.35,338.98,253.58
2003,UT01803,Salt Lake City,UT,184022,1296,15,80,697,504,12,704.26,8.15,43.47,378.76,273.88
2004,UT01803,Salt Lake City,UT,182768,1329,14,93,758,464,12,727.15,7.66,50.88,414.73,253.87
2005,UT01803,Salt Lake City,UT,184627,1301,9,76,797,419,12,704.66,4.87,41.16,431.68,226.94
2006,UT01803,Salt Lake City,UT,183901,1504,8,95,893,508,12,817.83,4.35,51.66,485.59,276.24
2007,UT01803,Salt Lake City,UT,178449,1504,17,115,868,504,12,842.82,9.53,64.44,486.41,282.43
2008,UT01803,Salt Lake City,UT,180514,1424,12,76,850,486,12,788.86,6.65,42.1,470.88,269.23
2009,UT01803,Salt Lake City,UT,180724,1284,3,103,767,411,12,710.48,1.66,56.99,424.4,227.42
2010,UT01803,Salt Lake City,UT,186440,1294,8,147,780,359,12,694.06,4.29,78.85,418.37,192.56
2011,UT01803,Salt Lake City,UT,190038,1230,7,128,753,342,12,647.24,3.68,67.35,396.24,179.96
2012,UT01803,Salt Lake City,UT,192465,1302,8,123,854,317,12,676.49,4.16,63.91,443.72,164.71
2013,UT01803,Salt Lake City,UT,190246,1487,7,213,846,421,12,781.62,3.68,111.96,444.69,221.29
2014,UT01803,Salt Lake City,UT,192368,1452,7,223,773,449,12,754.8,3.64,115.92,401.83,233.41
2015,UT01803,Salt Lake City,UT,191992,1642,8,291,874,469,,855.24,4.17,151.57,455.23,244.28
